split,language,seed,n_examples,sta_supported,sta_input,sta,sta_ci_lo,sta_ci_hi,sim,sim_ci_lo,sim_ci_hi,fl,fl_ci_lo,fl_ci_hi,j,j_ci_lo,j_ci_hi,delta_sta,sta_unvalidated,sta_unvalidated_ci_lo,sta_unvalidated_ci_hi,j_unvalidated,j_unvalidated_ci_lo,j_unvalidated_ci_hi,unique_output_rate,top_output_share,prefix_diversity,template_rate,matches_train_output_fuzzy_rate,empty_rate,sentinel_rate,copy_input_rate,copy_input_rate_loose
dev,am,42,27,True,0.3487786054611206,0.4852998792624998,0.30840521983902563,0.6616353905813648,0.9720931075237416,0.9500804414351781,0.9891345074883213,0.436148070343123,0.3478662767097573,0.529771582830341,0.2279065499918038,0.1267052915414178,0.3433683737473246,0.13652127380137918,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.4814814814814814,0.4814814814814814
dev,am,1337,27,True,0.34877869486808777,0.44831061302425546,0.27218683389353965,0.6296993432546042,0.9660002567149975,0.9393528771621209,0.9862818311761926,0.42810630725858934,0.3413705039386244,0.5177535213652616,0.20215737085182925,0.10174500837498188,0.31184554986644697,0.09953191815616769,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.4074074074074074
dev,am,2024,27,True,0.34877869486808777,0.4792903243365732,0.30193587264592586,0.6483954738103892,0.9491810776569225,0.9144247218966485,0.9751195473803413,0.43302475143534264,0.3376163001205232,0.5254090272119724,0.22187274057460968,0.12675122774811037,0.324649155781039,0.13051162946848544,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.2962962962962963,0.2962962962962963
dev,ar,42,27,True,0.27321311831474304,0.4375145127587193,0.2565491277897511,0.6157454383583238,0.9705202645725675,0.9415869162590416,0.9909794658422469,0.7470179294905733,0.6660163237967192,0.8222625040333597,0.33222694459272906,0.19363737984809007,0.48544527102713225,0.16430139444397623,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.6296296296296297,0.6296296296296297
dev,ar,1337,27,True,0.27321311831474304,0.4374027031094388,0.2602108431543457,0.6209902899857735,0.9704417431796039,0.9364694132849022,0.9909682830174764,0.7508108208631579,0.6788719692838886,0.828230156422,0.3321481191736911,0.20275605055649953,0.4717081272739217,0.16418958479469575,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556
dev,ar,2024,27,True,0.27321314811706543,0.45674201860566865,0.29713213665376387,0.6358276140360869,0.970619402549885,0.9403384752295636,0.9914685255399457,0.7530965864145812,0.6750897742322606,0.8293213799890307,0.3499220667699614,0.208772453873225,0.4870764451128444,0.18352887048860322,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556
dev,de,42,27,True,0.40239253640174866,0.5201476517400739,0.33656374167864367,0.7038931746199657,0.9929246505101522,0.9891797362654298,0.9965099051594734,0.7580193171794553,0.6855244460654873,0.8260599284890805,0.4272687246138072,0.27885279592609274,0.5826997000231113,0.11775511533832528,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5925925925925926
dev,de,1337,27,True,0.40239253640174866,0.5930568328196252,0.4436958368357788,0.776909179808421,0.9851022848376522,0.972684238795881,0.9942642798578298,0.7537263581360677,0.6828811184779878,0.8174616488900035,0.46356431311785373,0.31501518726426153,0.6200686326594224,0.19066429641787652,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.5925925925925926,0.5925925925925926
dev,de,2024,27,True,0.40239253640174866,0.5281768134877051,0.3408195038174638,0.704643841441753,0.9866960004523948,0.9714589184633007,0.9961012894908586,0.7651389077217255,0.695484327770028,0.8269278894588217,0.4349410345388636,0.28636372335965415,0.5925569010166025,0.1257842770859564,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.5925925925925926
dev,en,42,27,True,0.03748946264386177,0.5184986981093297,0.3334566001728861,0.7035214875661444,0.908123994315112,0.8770830242170228,0.9346338485126142,0.6822716819072382,0.6080690588194508,0.7596135009152107,0.37107857735566074,0.24228492450097366,0.5136734992680355,0.4810092354654679,,,,,,,1.0,0.037037037037037,0.925925925925926,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111
dev,en,1337,27,True,0.03748946264386177,0.5924100571460763,0.4074754991492901,0.777303934349119,0.9129040991818463,0.8818008717563418,0.9447563931345939,0.7203547297555177,0.6427600373870775,0.7874298495975752,0.4449297574494026,0.3047651684114746,0.5826371975415976,0.5549205945022145,,,,,,,1.0,0.037037037037037,0.925925925925926,0.0,0.0,0.0,0.0,0.1111111111111111,0.1481481481481481
